person,filename,prompt_index,category,prompt,seed,identity_cosine_distance,face_size_px,passed,timestamp
me,me_0000.jpg,0,baseline,"a photorealistic portrait photo of a person, natural expression, sharp focus, high detail skin texture, current age",10000,0.4322,236.5,True,2026-08-23T19:22:42.637022
me,me_0001.jpg,1,aging,"a photorealistic portrait photo of a person, subtly younger appearance, natural, sharp focus",10002,1.0,0.0,False,2026-08-23T19:22:49.258692
me,me_0001.jpg,2,aging,"a photorealistic portrait photo of a person, subtly older appearance, natural skin aging, sharp focus",10003,1.0,0.0,False,2026-08-23T19:22:54.558120
me,me_0001.jpg,3,lighting,"a photorealistic portrait photo of a person, bright soft indoor lighting, sharp focus",10004,0.4419,247.1000061035156,True,2026-08-23T19:23:00.128626
me,me_0002.jpg,4,lighting,"a photorealistic portrait photo of a person, dim moody indoor lighting, sharp focus",10006,0.4248,221.0,True,2026-08-23T19:23:05.811697
me,me_0003.jpg,5,lighting,"a photorealistic portrait photo of a person, natural outdoor daylight, sharp focus",10008,1.0,0.0,False,2026-08-23T19:23:11.436950
me,me_0003.jpg,6,lighting,"a photorealistic portrait photo of a person, warm golden hour sunlight, sharp focus",10009,0.4886,238.3999938964844,True,2026-08-23T19:23:16.828360
me,me_0004.jpg,7,lighting,"a photorealistic portrait photo of a person, cool blue-toned lighting, sharp focus",10011,0.405,229.3999938964844,True,2026-08-23T19:23:21.879347
teammate,teammate_0000.jpg,0,baseline,"a photorealistic portrait photo of a person, natural expression, sharp focus, high detail skin texture, current age",10000,0.3014,206.1999969482422,True,2026-08-23T19:23:27.108703
teammate,teammate_0001.jpg,1,aging,"a photorealistic portrait photo of a person, subtly younger appearance, natural, sharp focus",10002,1.0,0.0,False,2026-08-23T19:23:32.097132
teammate,teammate_0001.jpg,2,aging,"a photorealistic portrait photo of a person, subtly older appearance, natural skin aging, sharp focus",10003,0.6433,272.1000061035156,False,2026-08-23T19:23:37.418269
teammate,teammate_0001.jpg,3,lighting,"a photorealistic portrait photo of a person, bright soft indoor lighting, sharp focus",10004,0.2553,236.8999938964844,True,2026-08-23T19:23:42.592244
teammate,teammate_0002.jpg,4,lighting,"a photorealistic portrait photo of a person, dim moody indoor lighting, sharp focus",10006,0.2438,200.1999969482422,True,2026-08-23T19:23:47.852059
teammate,teammate_0003.jpg,5,lighting,"a photorealistic portrait photo of a person, natural outdoor daylight, sharp focus",10008,0.3417,276.3999938964844,True,2026-08-23T19:23:52.801480
teammate,teammate_0004.jpg,6,lighting,"a photorealistic portrait photo of a person, warm golden hour sunlight, sharp focus",10010,0.4615,235.5,True,2026-08-23T19:23:58.369981
professor,professor_0000.jpg,0,baseline,"a photorealistic portrait photo of a person, natural expression, sharp focus, high detail skin texture, current age",10000,0.3187,212.8999938964844,True,2026-08-23T19:24:03.804315
professor,professor_0001.jpg,1,aging,"a photorealistic portrait photo of a person, subtly younger appearance, natural, sharp focus",10002,0.4632,260.1000061035156,True,2026-08-23T19:24:08.886059
professor,professor_0002.jpg,2,aging,"a photorealistic portrait photo of a person, subtly older appearance, natural skin aging, sharp focus",10004,1.0,0.0,False,2026-08-23T19:24:13.778237
professor,professor_0002.jpg,3,lighting,"a photorealistic portrait photo of a person, bright soft indoor lighting, sharp focus",10005,0.4981,232.0,True,2026-08-23T19:24:19.030144
